Ecosystem,Package,Version,License,Notes
Rust,RustyXML,0.3.0,MIT/Apache-2.0,
Rust,accesskit,0.24.1,MIT OR Apache-2.0,
Rust,accesskit_atspi_common,0.18.1,MIT OR Apache-2.0,
Rust,accesskit_consumer,0.38.0,MIT OR Apache-2.0,
Rust,accesskit_macos,0.26.3,MIT OR Apache-2.0,
Rust,accesskit_unix,0.21.1,MIT OR Apache-2.0,
Rust,accesskit_windows,0.32.1,MIT OR Apache-2.0,
Rust,accesskit_winit,0.32.2,Apache-2.0,
Rust,addr2line,0.25.1,Apache-2.0 OR MIT,
Rust,adler2,2.0.1,0BSD OR MIT OR Apache-2.0,
Rust,aead,0.5.2,MIT OR Apache-2.0,
Rust,aes,0.8.4,MIT OR Apache-2.0,
Rust,aes-gcm,0.10.3,Apache-2.0 OR MIT,
Rust,ahash,0.8.12,MIT OR Apache-2.0,
Rust,aho-corasick,1.1.4,Unlicense OR MIT,
Rust,aligned-vec,0.5.0,MIT,
Rust,allocator-api2,0.2.21,MIT OR Apache-2.0,
Rust,android-activity,0.6.1,MIT OR Apache-2.0,
Rust,android-properties,0.2.2,MIT,
Rust,android_system_properties,0.1.5,MIT/Apache-2.0,
Rust,anstream,1.0.0,MIT OR Apache-2.0,
Rust,anstyle,1.0.14,MIT OR Apache-2.0,
Rust,anstyle-parse,1.0.0,MIT OR Apache-2.0,
Rust,anstyle-query,1.1.5,MIT OR Apache-2.0,
Rust,anstyle-wincon,3.0.11,MIT OR Apache-2.0,
Rust,anyhow,1.0.104,MIT OR Apache-2.0,
Rust,approx,0.5.1,Apache-2.0,
Rust,arboard,3.6.1,MIT OR Apache-2.0,
Rust,array-init,2.1.0,MIT OR Apache-2.0,
Rust,arrayref,0.3.9,BSD-2-Clause,
Rust,arrayvec,0.7.8,MIT OR Apache-2.0,
Rust,arrow,57.3.1,Apache-2.0,
Rust,arrow-arith,57.3.1,Apache-2.0,
Rust,arrow-array,57.3.1,Apache-2.0,
Rust,arrow-buffer,57.3.1,Apache-2.0,
Rust,arrow-cast,57.3.1,Apache-2.0,
Rust,arrow-csv,57.3.1,Apache-2.0,
Rust,arrow-data,57.3.1,Apache-2.0,
Rust,arrow-ipc,57.3.1,Apache-2.0,
Rust,arrow-json,57.3.1,Apache-2.0,
Rust,arrow-ord,57.3.1,Apache-2.0,
Rust,arrow-row,57.3.1,Apache-2.0,
Rust,arrow-schema,57.3.1,Apache-2.0,
Rust,arrow-select,57.3.1,Apache-2.0,
Rust,arrow-string,57.3.1,Apache-2.0,
Rust,as-raw-xcb-connection,1.0.1,MIT OR Apache-2.0,
Rust,ascii,1.1.0,Apache-2.0 OR MIT,
Rust,ash,0.38.0+1.3.281,MIT OR Apache-2.0,
Rust,assert_matches,1.5.0,MIT/Apache-2.0,
Rust,async-broadcast,0.7.2,MIT OR Apache-2.0,
Rust,async-channel,2.5.0,Apache-2.0 OR MIT,
Rust,async-executor,1.14.0,Apache-2.0 OR MIT,
Rust,async-io,2.6.0,Apache-2.0 OR MIT,
Rust,async-lock,3.4.2,Apache-2.0 OR MIT,
Rust,async-process,2.5.0,Apache-2.0 OR MIT,
Rust,async-recursion,1.1.1,MIT OR Apache-2.0,
Rust,async-signal,0.2.14,Apache-2.0 OR MIT,
Rust,async-stream,0.3.6,MIT,
Rust,async-stream-impl,0.3.6,MIT,
Rust,async-task,4.7.1,Apache-2.0 OR MIT,
Rust,async-trait,0.1.91,MIT OR Apache-2.0,
Rust,atoi,2.0.0,MIT,
Rust,atomic-waker,1.1.2,Apache-2.0 OR MIT,
Rust,atomig,0.4.3,MIT/Apache-2.0,
Rust,atomig-macro,0.4.0,MIT/Apache-2.0,
Rust,atspi,0.29.0,Apache-2.0 OR MIT,
Rust,atspi-common,0.13.0,Apache-2.0 OR MIT,
Rust,atspi-proxies,0.13.0,Apache-2.0 OR MIT,
Rust,autocfg,1.5.1,Apache-2.0 OR MIT,
Rust,av-data,0.4.4,MIT,
Rust,axum,0.8.9,MIT,
Rust,axum-core,0.5.6,MIT,
Rust,axum-macros,0.3.8,MIT,
Rust,az,1.3.0,MIT/Apache-2.0,
Rust,backtrace,0.3.76,MIT OR Apache-2.0,
Rust,base64,0.22.1,MIT OR Apache-2.0,
Rust,base64ct,1.8.3,Apache-2.0 OR MIT,
Rust,bigdecimal,0.4.10,MIT/Apache-2.0,
Rust,bimap,0.6.3,Apache-2.0/MIT,
Rust,bincode,2.0.1,MIT,
Rust,bindgen,0.66.1,BSD-3-Clause,
Rust,binrw,0.12.1,MIT,
Rust,binrw_derive,0.12.1,MIT,
Rust,bit-set,0.9.1,Apache-2.0 OR MIT,
Rust,bit-vec,0.9.1,Apache-2.0 OR MIT,
Rust,bit_field,0.10.3,Apache-2.0/MIT,
Rust,bitflags,2.13.1,MIT OR Apache-2.0,
Rust,bitstream-io,2.6.0,MIT/Apache-2.0,
Rust,blake2,0.10.6,MIT OR Apache-2.0,
Rust,blake3,1.8.5,CC0-1.0 OR Apache-2.0 OR Apache-2.0 WITH LLVM-exception,
Rust,block,0.1.6,MIT,
Rust,block-buffer,0.10.4,MIT OR Apache-2.0,
Rust,block2,0.6.2,MIT,
Rust,blocking,1.6.2,Apache-2.0 OR MIT,
Rust,bstr,1.13.0,MIT OR Apache-2.0,
Rust,bumpalo,3.20.3,MIT OR Apache-2.0,
Rust,burn,0.13.2,MIT OR Apache-2.0,
Rust,burn-autodiff,0.13.2,MIT OR Apache-2.0,
Rust,burn-candle,0.13.2,MIT OR Apache-2.0,
Rust,burn-common,0.13.2,MIT OR Apache-2.0,
Rust,burn-compute,0.13.2,MIT OR Apache-2.0,
Rust,burn-core,0.13.2,MIT OR Apache-2.0,
Rust,burn-dataset,0.13.2,MIT OR Apache-2.0,
Rust,burn-derive,0.13.2,MIT OR Apache-2.0,
Rust,burn-fusion,0.13.2,MIT OR Apache-2.0,
Rust,burn-jit,0.13.2,MIT OR Apache-2.0,
Rust,burn-ndarray,0.13.2,MIT OR Apache-2.0,
Rust,burn-tch,0.13.2,MIT OR Apache-2.0,
Rust,burn-tensor,0.13.2,MIT OR Apache-2.0,
Rust,burn-train,0.13.2,MIT OR Apache-2.0,
Rust,burn-wgpu,0.13.2,MIT OR Apache-2.0,
Rust,byte-slice-cast,1.2.3,MIT,
Rust,bytemuck,1.25.2,Zlib OR Apache-2.0 OR MIT,
Rust,bytemuck_derive,1.11.0,Zlib OR Apache-2.0 OR MIT,
Rust,byteorder,1.5.0,Unlicense OR MIT,
Rust,byteorder-lite,0.1.0,Unlicense OR MIT,
Rust,bytes,1.12.1,MIT,
Rust,bytesize,1.3.3,Apache-2.0,
Rust,bytestring,1.5.1,MIT OR Apache-2.0,
Rust,bzip2,0.4.4,MIT/Apache-2.0,
Rust,bzip2-sys,0.1.13+1.0.8,MIT/Apache-2.0,
Rust,cacache,13.1.0,Apache-2.0,
Rust,calloop,0.14.4,MIT,
Rust,calloop-wayland-source,0.4.1,MIT,
Rust,camino,1.2.4,MIT OR Apache-2.0,
Rust,candle-core,0.4.1,MIT OR Apache-2.0,
Rust,cargo-platform,0.3.3,MIT OR Apache-2.0,
Rust,cargo_metadata,0.23.1,MIT,
Rust,cassowary,0.3.0,MIT / Apache-2.0,
Rust,cc,1.4.0,MIT OR Apache-2.0,
Rust,cdr-encoding,0.10.2,Apache-2.0,
Rust,cellhawk-core,0.1.0,UNKNOWN,
Rust,cellhawk-edge,0.1.0,UNKNOWN,
Rust,cellhawk-gcs,0.1.0,UNKNOWN,
Rust,cexpr,0.6.0,Apache-2.0/MIT,
Rust,cfb,0.7.3,MIT,
Rust,cfg-if,1.0.4,MIT OR Apache-2.0,
Rust,cfg_aliases,0.2.2,MIT,
Rust,cgl,0.3.2,MIT / Apache-2.0,
Rust,chacha20,0.10.1,MIT OR Apache-2.0,
Rust,chrono,0.4.45,MIT OR Apache-2.0,
Rust,chrono-tz,0.10.4,MIT OR Apache-2.0,
Rust,chunked_transfer,1.5.0,MIT OR Apache-2.0,
Rust,cipher,0.4.4,MIT OR Apache-2.0,
Rust,clang-sys,1.8.1,Apache-2.0,
Rust,clap,4.6.4,MIT OR Apache-2.0,
Rust,clap_builder,4.6.2,MIT OR Apache-2.0,
Rust,clap_derive,4.6.4,MIT OR Apache-2.0,
Rust,clap_lex,1.1.0,MIT OR Apache-2.0,
Rust,clean-path,0.2.1,MIT OR Apache-2.0,
Rust,clipboard-win,5.4.1,BSL-1.0,
Rust,cmake,0.1.58,MIT OR Apache-2.0,
Rust,codespan-reporting,0.13.1,Apache-2.0,
Rust,color,0.3.3,Apache-2.0 OR MIT,
Rust,color-hex,0.2.0,MIT,
Rust,color_quant,1.1.0,MIT,
Rust,colorchoice,1.0.5,MIT OR Apache-2.0,
Rust,colored,2.2.0,MPL-2.0,
Rust,com,0.6.0,MIT,
Rust,com_macros,0.6.0,MIT,
Rust,com_macros_support,0.6.0,MIT,
Rust,combine,4.6.7,MIT,
Rust,comfy-table,7.2.2,MIT,
Rust,concat-idents,1.1.5,MIT OR Apache-2.0,
Rust,concrete-csprng,0.4.1,BSD-3-Clause-Clear,
Rust,concrete-fft,0.4.1,BSD-3-Clause-Clear,
Rust,concurrent-queue,2.5.0,Apache-2.0 OR MIT,
Rust,console,0.16.4,MIT,
Rust,const-random,0.1.18,MIT OR Apache-2.0,
